,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7
START.YEAR,0.115721815,0.01743102,-0.002457947,-0.017000601,-0.008499701,0.03161366,0.011352051
START.QUARTER,-0.009223642,-0.002433942,0.313913474,0.151335656,0.147480606,-0.314614395,-0.133187145
COMPLETION.YEAR,0.114834566,0.02192261,0.006584374,-0.00416606,0.009308198,0.001857259,0.018949839
COMPLETION.QUARTER,0.004377004,-0.023622037,-0.040344033,-0.065682896,-0.065901069,0.133871732,0.051157799
V.1,0.006582887,-0.005937065,0.054258085,0.014576056,0.36224053,0.237153411,-0.088658955
V.2,0.014566969,0.040089747,-0.0315616,-0.015217482,-0.378045211,-0.249482217,-0.066015901
V.3,0.012198458,0.032327979,-0.024079962,-0.024837043,-0.375920291,-0.242083967,-0.077592134
V.4,0.073489007,0.045639379,-0.029440781,-0.010766649,-0.342234915,-0.207919571,-0.01574327
V.5,0.100265406,0.032094608,-0.015162282,-0.001972597,-0.165409822,-0.081240146,0.039654701
V.6,-0.01495896,0.031462739,-0.077505247,0.048261134,-0.344459318,-0.149246838,0.121510712
V.7,0.011980491,0.035476553,-0.064180497,0.031465746,0.04153546,0.038301183,0.188506138
V.8,0.093327616,0.019543601,-0.026451398,0.026549226,-0.19159613,-0.103950668,0.055139524
V.11,0.056166561,-0.22701809,-0.09622216,0.17112135,-0.016067942,0.049922278,-0.041256673
V.12,0.115671681,0.012622307,0.024137112,-0.033933634,0.0095522,-0.005636908,-0.015722768
V.13,0.11584817,0.014225128,0.015545482,0.006622776,0.006308302,0.002501909,-0.015822519
V.14,0.065779195,-0.200408973,-0.112610426,0.119859463,-0.014973421,0.025251737,-0.041837274
V.15,0.115707363,0.011965306,0.015610876,-0.030734268,0.007093594,0.004328437,-0.000892168
V.16,0.112656834,-0.065409635,0.023307736,0.033139171,0.008280208,-0.016164082,-0.003711745
V.17,0.115013825,-0.029109602,0.028565307,-0.046769865,0.002185806,0.005262091,0.000610863
V.18,0.066593211,0.035468843,-0.310139174,-0.045425187,0.137614951,-0.137938904,0.037610937
V.19,0.107110825,0.033527925,-0.131563548,-0.019328084,0.06581219,-0.07055499,-0.019991554
V.20,-0.062386396,0.206372717,-0.11920277,0.208643101,0.000370665,0.015975589,0.07306644
V.21,0.114399346,0.014811826,0.018301333,-0.025867899,0.009818681,0.000702348,-0.014389979
V.22,0.114317756,0.005122907,0.024433993,-0.047767519,0.012863785,-0.009525518,-0.025994988
V.23,0.098664854,0.065361975,0.073195274,-0.085582554,0.004565749,0.039492232,0.099250386
V.24,0.100581946,0.06582636,-0.052892161,0.172052184,-0.005902181,0.032801951,-0.05593706
