"Centre.North"	"Sardinia"	"South"
"Sensitivity"	0.977777777777778	0.964285714285714	0.957446808510638
"Specificity"	0.967213114754098	1	0.972602739726027
"Pos Pred Value"	0.916666666666667	1	0.978260869565217
"Neg Pred Value"	0.991596638655462	0.992857142857143	0.946666666666667
"Precision"	0.916666666666667	1	0.978260869565217
"Recall"	0.977777777777778	0.964285714285714	0.957446808510638
"F1"	0.946236559139785	0.981818181818182	0.967741935483871
"Prevalence"	0.269461077844311	0.167664670658683	0.562874251497006
"Detection Rate"	0.263473053892216	0.161676646706587	0.538922155688623
"Detection Prevalence"	0.287425149700599	0.161676646706587	0.550898203592814
"Balanced Accuracy"	0.972495446265938	0.982142857142857	0.965024774118333
