"Centre.North"	"Sardinia"	"South"
"Sensitivity"	0.977777777777778	1	1
"Specificity"	1	0.992805755395683	1
"Pos Pred Value"	1	0.96551724137931	1
"Neg Pred Value"	0.991869918699187	1	1
"Precision"	1	0.96551724137931	1
"Recall"	0.977777777777778	1	1
"F1"	0.98876404494382	0.982456140350877	1
"Prevalence"	0.269461077844311	0.167664670658683	0.562874251497006
"Detection Rate"	0.263473053892216	0.167664670658683	0.562874251497006
"Detection Prevalence"	0.263473053892216	0.173652694610778	0.562874251497006
"Balanced Accuracy"	0.988888888888889	0.996402877697842	1
