"Centre.North"	"Sardinia"	"South"
"Sensitivity"	1	0.964285714285714	0.925531914893617
"Specificity"	0.934426229508197	1	1
"Pos Pred Value"	0.849056603773585	1	1
"Neg Pred Value"	1	0.992857142857143	0.9125
"Precision"	0.849056603773585	1	1
"Recall"	1	0.964285714285714	0.925531914893617
"F1"	0.918367346938776	0.981818181818182	0.961325966850829
"Prevalence"	0.269461077844311	0.167664670658683	0.562874251497006
"Detection Rate"	0.269461077844311	0.161676646706587	0.520958083832335
"Detection Prevalence"	0.317365269461078	0.161676646706587	0.520958083832335
"Balanced Accuracy"	0.967213114754098	0.982142857142857	0.962765957446808
