"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	0	1	0	0	0	0	1	0	1
"Specificity"	1	0.952830188679245	1	1	1	1	0.939189189189189	1	0.618421052631579
"Pos Pred Value"	NA	0.924242424242424	NA	NA	NA	NA	0.678571428571428	NA	0.205479452054795
"Neg Pred Value"	0.958083832335329	1	0.904191616766467	0.910179640718563	0.910179640718563	0.946107784431138	1	0.940119760479042	1
"Precision"	NA	0.924242424242424	NA	NA	NA	NA	0.678571428571429	NA	0.205479452054795
"Recall"	0	1	0	0	0	0	1	0	1
"F1"	NA	0.960629921259842	NA	NA	NA	NA	0.808510638297872	NA	0.340909090909091
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0	0.365269461077844	0	0	0	0	0.11377245508982	0	0.0898203592814371
"Detection Prevalence"	0	0.395209580838323	0	0	0	0	0.167664670658683	0	0.437125748502994
"Balanced Accuracy"	0.5	0.976415094339623	0.5	0.5	0.5	0.5	0.969594594594595	0.5	0.809210526315789
