"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	0.857142857142857	1	0.9375	0.866666666666667	1	1	1	0.6	1
"Specificity"	0.99375	0.990566037735849	0.973509933774834	1	0.993421052631579	1	1	1	0.993421052631579
"Pos Pred Value"	0.857142857142858	0.983870967741935	0.789473684210526	1	0.9375	1	1	1	0.9375
"Neg Pred Value"	0.99375	1	0.993243243243243	0.987012987012987	1	1	1	0.975155279503106	1
"Precision"	0.857142857142857	0.983870967741935	0.789473684210526	1	0.9375	1	1	1	0.9375
"Recall"	0.857142857142857	1	0.9375	0.866666666666667	1	1	1	0.6	1
"F1"	0.857142857142857	0.991869918699187	0.857142857142857	0.928571428571429	0.967741935483871	1	1	0.75	0.967741935483871
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0.0359281437125748	0.365269461077844	0.0898203592814371	0.0778443113772455	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0359281437125748	0.0898203592814371
"Detection Prevalence"	0.0419161676646707	0.37125748502994	0.11377245508982	0.0778443113772455	0.0958083832335329	0.0538922155688623	0.11377245508982	0.0359281437125748	0.0958083832335329
"Balanced Accuracy"	0.925446428571429	0.995283018867924	0.955504966887417	0.933333333333333	0.996710526315789	1	1	0.8	0.996710526315789
