"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	0.857142857142857	0.967213114754098	0.75	0.8	0.8	1	1	0.3	1
"Specificity"	0.9875	0.971698113207547	0.95364238410596	0.986842105263158	1	1	1	0.968152866242038	0.993421052631579
"Pos Pred Value"	0.750000000000001	0.951612903225806	0.631578947368421	0.857142857142857	1	1	1	0.375	0.9375
"Neg Pred Value"	0.993710691823899	0.980952380952381	0.972972972972973	0.980392156862745	0.980645161290323	1	1	0.955974842767296	1
"Precision"	0.75	0.951612903225806	0.631578947368421	0.857142857142857	1	1	1	0.375	0.9375
"Recall"	0.857142857142857	0.967213114754098	0.75	0.8	0.8	1	1	0.3	1
"F1"	0.8	0.959349593495935	0.685714285714286	0.827586206896552	0.888888888888889	1	1	0.333333333333333	0.967741935483871
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0.0359281437125748	0.353293413173653	0.0718562874251497	0.0718562874251497	0.0718562874251497	0.0538922155688623	0.11377245508982	0.0179640718562874	0.0898203592814371
"Detection Prevalence"	0.0479041916167665	0.37125748502994	0.11377245508982	0.0838323353293413	0.0718562874251497	0.0538922155688623	0.11377245508982	0.0479041916167665	0.0958083832335329
"Balanced Accuracy"	0.922321428571429	0.969455613980823	0.85182119205298	0.893421052631579	0.9	1	1	0.634076433121019	0.996710526315789
