"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	0.857142857142857	0.983606557377049	0.875	0.866666666666667	1	0.888888888888889	0.947368421052632	0.5	0.933333333333333
"Specificity"	0.9875	1	0.980132450331126	0.986842105263158	0.993421052631579	0.993670886075949	0.993243243243243	0.980891719745223	0.993421052631579
"Pos Pred Value"	0.750000000000001	1	0.823529411764706	0.866666666666666	0.9375	0.888888888888888	0.947368421052631	0.625	0.933333333333334
"Neg Pred Value"	0.993710691823899	0.990654205607477	0.986666666666667	0.986842105263158	1	0.993670886075949	0.993243243243243	0.968553459119497	0.993421052631579
"Precision"	0.75	1	0.823529411764706	0.866666666666667	0.9375	0.888888888888889	0.947368421052632	0.625	0.933333333333333
"Recall"	0.857142857142857	0.983606557377049	0.875	0.866666666666667	1	0.888888888888889	0.947368421052632	0.5	0.933333333333333
"F1"	0.8	0.991735537190083	0.848484848484849	0.866666666666667	0.967741935483871	0.888888888888889	0.947368421052632	0.555555555555556	0.933333333333333
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0.0359281437125748	0.359281437125749	0.0838323353293413	0.0778443113772455	0.0898203592814371	0.0479041916167665	0.107784431137725	0.029940119760479	0.0838323353293413
"Detection Prevalence"	0.0479041916167665	0.359281437125749	0.101796407185629	0.0898203592814371	0.0958083832335329	0.0538922155688623	0.11377245508982	0.0479041916167665	0.0898203592814371
"Balanced Accuracy"	0.922321428571429	0.991803278688525	0.927566225165563	0.926754385964912	0.996710526315789	0.941279887482419	0.970305832147937	0.740445859872611	0.963377192982456
