"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	0.857142857142857	1	0.8125	0.933333333333333	1	1	1	0.6	1
"Specificity"	0.9875	0.990566037735849	0.980132450331126	1	1	1	1	0.987261146496815	0.993421052631579
"Pos Pred Value"	0.750000000000001	0.983870967741935	0.8125	1	1	1	1	0.75	0.9375
"Neg Pred Value"	0.993710691823899	1	0.980132450331126	0.993464052287582	1	1	1	0.974842767295597	1
"Precision"	0.75	0.983870967741935	0.8125	1	1	1	1	0.75	0.9375
"Recall"	0.857142857142857	1	0.8125	0.933333333333333	1	1	1	0.6	1
"F1"	0.8	0.991869918699187	0.8125	0.96551724137931	1	1	1	0.666666666666667	0.967741935483871
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0.0359281437125748	0.365269461077844	0.0778443113772455	0.0838323353293413	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0359281437125748	0.0898203592814371
"Detection Prevalence"	0.0479041916167665	0.37125748502994	0.0958083832335329	0.0838323353293413	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0479041916167665	0.0958083832335329
"Balanced Accuracy"	0.922321428571429	0.995283018867924	0.896316225165563	0.966666666666667	1	1	1	0.793630573248408	0.996710526315789
