"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	1	1	0.9375	1	1	1	1	1	1
"Specificity"	1	1	1	1	1	1	1	0.993630573248408	1
"Pos Pred Value"	1	1	1	1	1	1	1	0.909090909090909	1
"Neg Pred Value"	1	1	0.993421052631579	1	1	1	1	1	1
"Precision"	1	1	1	1	1	1	1	0.909090909090909	1
"Recall"	1	1	0.9375	1	1	1	1	1	1
"F1"	1	1	0.967741935483871	1	1	1	1	0.952380952380952	1
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0.0419161676646707	0.365269461077844	0.0898203592814371	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Prevalence"	0.0419161676646707	0.365269461077844	0.0898203592814371	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0658682634730539	0.0898203592814371
"Balanced Accuracy"	1	1	0.96875	1	1	1	1	0.996815286624204	1
