"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Sensitivity"	0.857142857142857	1	0.9375	0.866666666666667	1	1	1	0.9	1
"Specificity"	1	0.990566037735849	0.986754966887417	1	0.993421052631579	1	1	1	0.993421052631579
"Pos Pred Value"	1	0.983870967741935	0.882352941176471	1	0.9375	1	1	1	0.9375
"Neg Pred Value"	0.993788819875776	1	0.993333333333333	0.987012987012987	1	1	1	0.993670886075949	1
"Precision"	1	0.983870967741935	0.882352941176471	1	0.9375	1	1	1	0.9375
"Recall"	0.857142857142857	1	0.9375	0.866666666666667	1	1	1	0.9	1
"F1"	0.923076923076923	0.991869918699187	0.909090909090909	0.928571428571429	0.967741935483871	1	1	0.947368421052632	0.967741935483871
"Prevalence"	0.0419161676646707	0.365269461077844	0.0958083832335329	0.0898203592814371	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0598802395209581	0.0898203592814371
"Detection Rate"	0.0359281437125748	0.365269461077844	0.0898203592814371	0.0778443113772455	0.0898203592814371	0.0538922155688623	0.11377245508982	0.0538922155688623	0.0898203592814371
"Detection Prevalence"	0.0359281437125748	0.37125748502994	0.101796407185629	0.0778443113772455	0.0958083832335329	0.0538922155688623	0.11377245508982	0.0538922155688623	0.0958083832335329
"Balanced Accuracy"	0.928571428571429	0.995283018867924	0.962127483443709	0.933333333333333	0.996710526315789	1	1	0.95	0.996710526315789
