"","x"
"4508",1
"24670",1
"24153",1
"24712",1
"34127",1
"25382",1
"377",2
"9218",1
"26401",1
"20383",1
"27490",1
"21599",1
"11206",1
"36597",1
"11585",1
"33182",1
"11343",1
"10574",1
"7400",1
"9202",1
"12546",1
"11994",1
"6302",1
"1585",2
"8669",1
"32116",1
"20828",1
"36237",1
"32935",1
"1814",2
"18068",1
"10505",1
"12069",1
"20095",1
"7174",1
"30090",1
"7972",1
"10251",1
"39296",1
"31976",1
"21915",1
"25600",1
"12349",1
"24625",1
"13059",1
"19879",1
"26812",1
"19205",1
"9659",1
"30309",1
"2922",2
"12262",1
"28399",1
"19976",1
"6058",1
"19951",1
"19555",1
"29738",1
"6914",1
"33584",1
"34234",1
"1657",2
"12555",1
"545",2
"9461",1
"27963",1
"12194",1
"20127",1
"2044",2
"22343",1
"4808",1
"35333",1
"579",2
"30989",1
"3560",1
"20544",1
"15205",1
"2772",2
"12687",1
"26450",1
"36653",2
"18671",1
"5643",1
"21532",1
"7761",1
"35547",1
"15408",1
"12298",1
"6331",1
"35449",1
"6582",1
"35615",1
"5304",1
"5206",1
"4165",1
"20233",1
"11873",1
"1057",2
"12246",1
"29348",1
"1403",2
"22345",1
"11082",1
"8075",1
"5289",1
"12878",1
"6131",1
"5139",1
"17220",1
"1528",2
"28200",1
"3984",1
"37568",1
"4816",1
"8684",1
"36094",1
"37388",1
"11035",1
"4881",1
"31508",1
"29417",1
"36203",1
"39309",1
"37244",1
"19213",1
"11203",1
"9941",1
"19888",1
"19639",1
"12584",1
"38022",1
"25056",1
"5036",1
"16716",1
"36125",1
"18483",1
"35880",1
"23616",1
"24958",1
"34337",1
"19861",1
"38857",1
"12814",1
"19015",1
"14101",1
"24785",1
"29292",1
"22354",1
"38738",1
"22782",1
"17340",1
"9029",1
"3245",1
"33578",1
"9267",1
"39022",1
"23768",1
"39438",1
"14831",1
"21920",1
"16957",1
"22738",1
"17077",1
"8878",1
"3356",1
"25160",1
"17016",1
"2871",2
"31676",1
"12841",1
"29894",1
"23063",1
"27980",1
"16854",1
"13561",1
"29962",1
"16736",1
"22137",1
"4584",1
"11959",1
"18896",1
"13609",1
"23706",1
"3003",2
"37724",1
"877",2
"33213",1
"24955",1
"12236",1
"29299",1
"25208",1
"39158",1
"5061",1
"34845",1
"31958",1
"32422",1
"32928",1
"28905",1
"38778",1
"25214",1
"26063",1
"20841",1
"12523",1
"30285",1
"20758",1
"28882",1
"12134",1
"15940",1
"8061",1
"38869",1
"22332",1
"11057",1
"7298",1
"29892",1
"22349",1
"36755",1
"25183",1
"27629",1
"18894",1
"33524",1
"16650",1
"1238",2
"10177",1
"13200",1
"5265",1
"19692",1
"31619",1
"13290",1
"20060",1
"19489",1
"31416",1
"22346",1
"4206",1
"31831",1
"22350",1
"8365",1
"29540",1
"12107",1
"19290",1
"39000",1
"16712",2
"9631",1
"8556",1
"27152",1
"38621",1
"18795",1
"30476",1
"22627",1
"38055",1
"31395",1
"20954",1
"23503",1
"10396",1
"11012",1
"2565",2
"22180",1
"10334",1
"130",2
"23219",1
"20483",1
"33266",1
"1165",2
"23621",1
"10571",1
"4750",1
"3966",1
"29462",1
"629",2
"1948",2
"29438",1
"14066",1
"29883",1
"14803",1
"31476",1
"1012",2
"19935",1
"32331",1
"21446",1
"10499",1
"13567",1
"14533",1
"16897",1
"36155",1
"30873",1
"29042",1
"11051",1
"17980",1
"11317",1
"27404",1
"32301",1
"25783",1
"16273",1
"37457",1
"9567",1
"23952",1
"29825",1
"27295",1
"4542",1
"25021",1
"12159",1
"13889",1
"38594",1
"21201",1
"17469",1
"37349",1
"17801",1
"7499",1
"39007",1
"21575",1
"30242",1
"35929",1
"26830",1
"16019",1
"16032",1
"5746",1
"7735",1
"7560",1
"16062",1
"13695",1
"32819",1
"7802",1
"33889",1
"15619",1
"6027",1
"13341",1
"14438",1
"16804",1
"7327",1
"25871",1
"36186",1
"28853",1
"34687",1
"37478",1
"7662",1
"18579",1
"15176",1
"14708",1
"1095",2
"36530",1
"16136",1
"37569",1
"10697",1
"20329",1
"38449",1
"14530",1
"12200",1
"1345",2
"26234",1
"36189",1
"1768",2
"7904",1
"29215",1
"5130",1
"27853",1
"39245",1
"37086",1
