"Certified"	"Certified-Expired"	"Denied"	"Withdrawn"
"Sensitivity"	0.720224719101124	1	0	0
"Specificity"	0.950029452189279	0.683018239360373	1	1
"Pos Pred Value"	0.937934398244117	0.699486774575602	NA	NA
"Neg Pred Value"	0.764074220292144	1	0.968657145595706	0.967746573372951
"Precision"	0.937934398244117	0.699486774575602	NA	NA
"Recall"	0.720224719101124	1	0	0
"F1"	0.814787352364811	0.823174131202379	NA	NA
"Prevalence"	0.511837438895811	0.424566280072846	0.0313428544042941	0.0322534266270488
"Detection Rate"	0.368637975654174	0.424566280072846	0	0
"Detection Prevalence"	0.393031726253235	0.606968273746765	0	0
"Balanced Accuracy"	0.835127085645202	0.841509119680186	0.5	0.5
