"Certified"	"Certified-Expired"	"Denied"	"Withdrawn"
"Sensitivity"	0.696535580524345	0.559656846145163	0	0
"Specificity"	0.558511682701747	0.669192970767053	1	1
"Pos Pred Value"	0.623240616621984	0.555207166853304	NA	NA
"Neg Pred Value"	0.637066069428891	0.673173592493298	0.968657145595706	0.967746573372951
"Precision"	0.623240616621984	0.555207166853304	NA	NA
"Recall"	0.696535580524345	0.559656846145163	0	0
"F1"	0.657852847541563	0.557423126651301	NA	NA
"Prevalence"	0.511837438895811	0.424566280072846	0.0313428544042941	0.0322534266270488
"Detection Rate"	0.356512987635388	0.237611425285153	0	0
"Detection Prevalence"	0.572031055305281	0.427968944694719	0	0
"Balanced Accuracy"	0.627523631613046	0.614424908456108	0.5	0.5
