"Certified"	"Certified-Expired"	"Denied"	"Withdrawn"
"Sensitivity"	0.828558052434457	0.920532791511457	0.293577981651376	0.0445765230312036
"Specificity"	0.876398978990772	0.810943616223869	0.996041955274095	0.998464814539692
"Pos Pred Value"	0.875445191927186	0.782254196642686	0.705882352941175	0.491803278688519
"Neg Pred Value"	0.829801078267336	0.932573508284647	0.977566281441197	0.969093967796203
"Precision"	0.875445191927186	0.782254196642686	0.705882352941177	0.491803278688525
"Recall"	0.828558052434457	0.920532791511457	0.293577981651376	0.0445765230312036
"F1"	0.85135655185684	0.845778884048952	0.414686825053996	0.0817438692098093
"Prevalence"	0.511837438895811	0.424566280072846	0.0313428544042941	0.0322534266270488
"Detection Rate"	0.424087031534554	0.390827182977092	0.0092015719352056	0.00143774561487587
"Detection Prevalence"	0.484424422505511	0.499616601169366	0.0130355602415413	0.00292341608358094
"Balanced Accuracy"	0.852478515712614	0.865738203867663	0.644809968462735	0.521520668785448
