"","X","case_received_date","case_status","country_of_citizenship","decision_date","employer_state","employer_name","employer_yr_estab","foreign_worker_info_birth_country","foreign_worker_info_education","job_info_alt_combo_ed","job_info_alt_occ_job_title","job_info_job_title","job_info_work_state","wage_offer_from_9089","wage_offer_unit_of_pay_9089","employer_size","Center","Career_Cluster"
"41069",41068,2015,"Certified-Expired","MALAYSIA",2016,"OH","QUASAR ENERGY GROUP",2006,"","Master's","Bachelor's","REL EXP. TO INCL: MANAGING AN ANALYTICAL/R+D LAB AND HANDS-ON R+D WORK","LAB MANAGER","OH",53123,"Year","Medium","Unknown",278897
"66975",66974,2016,"Certified","SOUTH KOREA",2016,"CA","CYMER LLC",1986,"","Associate's","Other","computer-related occupation","Software Development Engineer","CA",112434,"Year","Large","Unknown",365751
"42950",42949,2015,"Certified-Expired","INDIA",2016,"MA","Nasuni Corporation",2009,"","Master's","Bachelor's","See # 14 below","Principal Software Engineer","MA",99174,"Year","Medium","CA or VT",285265
"40997",40996,2015,"Certified-Expired","INDIA",2016,"DC","""COSTAR REALTY INFORMATION, INC""",1987,"","Master's","Bachelor's","""Software Developers, Applications; Web Design & Dev. Intern; Tech Assistant; or Related Position""","Software Developer","DC",89669,"Year","Large","CA or VT",278651
"62697",62696,2016,"Certified","INDIA",2016,"NJ","""TRUSTEK, INC.""",1994,"","Bachelor's","Bachelor's","Developer or Consultant","Software Engineer","NJ",111259,"Year","Medium","CA or VT",351877
"26411",26410,2015,"Certified-Expired","INDIA",2015,"TX","SBASE TECHNOLOGIES INC",2011,"","Bachelor's","Bachelor's","""Software Engineer, Programmer Analyst""","Software Engineer","TX",95077,"Year","Medium","CA or VT",224870
"1821",1820,2013,"Certified-Expired","INDIA",2014,"NEW JERSEY","GOLDMAN SACHS NEW JERSEY LLC",2009,"INDIA","Master's","Bachelor's","a related database software development role","Senior Technology Analyst","NEW JERSEY",102500,"Year","Large","CA or VT",141058
"15063",15062,2014,"Certified-Expired","SRI LANKA",2015,"CALIFORNIA","INTEL AMERICA'S INC.",1999,"SRI LANKA","Bachelor's","Master's","Related Occupation","Software Engineer","MASSACHUSETTS",102720,"Year","Large","Unknown",187083
"54347",54346,2016,"Certified","CANADA",2016,"CA","""A2Z DEVELOPMENT CENTER, INC.""",2004,"","Master's","Bachelor's","a related occupation","Product Manager","CA",113277,"Year","Large","Unknown",322872
"3377",3376,2014,"Certified-Expired","SOUTH AFRICA",2014,"NEW JERSEY","ERNST & YOUNG U.S. LLP",1989,"SOUTH AFRICA","Bachelor's","Master's","FSO-Assurance Sr. (Auditor) -AM; Supervisor;Senior; Assistant; or related","FSO - Assurance Manager (Aud - Asset Management","NEW YORK",109600,"Year","Large","Unknown",146868
"69484",69483,2016,"Certified","INDIA",2016,"PA","""VELAGA ASSOCIATES, INC.""",2002,"","Master's","Master's","""Computers, Engineering, Sciences or IT related field""","Senior Software Developer (JAVA)","PA",101712,"Year","Small","CA or VT",374049
"22379",22378,2014,"Certified-Expired","INDIA",2014,"ILLINOIS","LORVEN BPM TECHNOLOGIES LLC",2011,"INDIA","Bachelor's","Other","""Network Engineer, Business Analyst, Software Engineer or Rel""","Software Engineer","ILLINOIS",76500,"Year","Micro","CA or VT",211023
"6577",6576,2014,"Certified-Expired","INDIA",2014,"ILLINOIS","CAPGEMINI FINANCIAL SERVICES USA INC.",1989,"INDIA","Bachelor's","Master's","""job off,Conslnt,Prjct Mgr/Ldr,Tech Spec,Asstnt Sys Engin,or rel'd""","Lead Consultant","NEW JERSEY",122179,"Year","Large","CA or VT",159440
"54507",54506,2016,"Certified","GERMANY",2016,"FL","PricewaterhouseCoopers Advisory Services LLC",2014,"","Doctorate","Master's","""Analytics Sr.Associate;Analytics Mgr;Adv.Analytics Mgr; Mgr,Fin. Svcs Office or rel.""","Model Risk Manager","NY",153546,"Year","Large","CA or VT",323483
"48485",48484,2016,"Certified","INDIA",2016,"GA","""TOTAL SYSTEM SERVICES, INC. (TSYS, INC.)""",1982,"","Bachelor's","Master's","Position offered or related position","IT Architect","GA",95000,"Year","Large","CA or VT",303476
"40648",40647,2015,"Certified-Expired","INDIA",2016,"TX","INFOSYS LTD.",1981,"","Master's","Bachelor's","""Lead Consultant, Business System Analyst, Senior Consultant, Software Engineer or related position.""","Lead Consultant (Products and Packages) - US","TX",98904,"Year","Large","Unknown",277369
"54078",54077,2016,"Certified","CHINA",2016,"WA","MICROSOFT CORPORATION",1975,"","Master's","Bachelor's","Any computer related occupation","Software Engineer II","WA",127800,"Year","Large","Unknown",321973
"16500",16499,2014,"Certified","INDIA",2015,"WASHINGTON","CYBAGE SOFTWARE INC",2004,"INDIA","Bachelor's","Other","","PROJECT ANALYST","WASHINGTON",97219,"Year","Medium","CA or VT",191658
"66094",66093,2016,"Certified","INDIA",2016,"CA","APPLE INC.",1977,"","Bachelor's","Bachelor's","In job offered or related occupation.","Software Engineer Applications","CA",140400,"Year","Large","CA or VT",363160
"48068",48067,2016,"Certified","ISRAEL",2016,"CA","INTEL CORPORATION",1968,"","Bachelor's","Master's","Related occupation","Component Design Engineer","CA",113464,"Year","Large","Unknown",302061
"19957",19956,2015,"Certified","SOUTH KOREA",2015,"CALIFORNIA","""APPLIED MATERIALS, INC.""",1967,"SOUTH KOREA","Master's","Bachelor's","""Job offered, or related occupation""","Senior Investment Associate","CALIFORNIA",111363,"Year","Large","CA or VT",202721
"27353",27352,2015,"Certified-Expired","CHINA",2015,"MA","""THE MATHWORKS, INC.""",1984,"","Master's","Master's","""Job offered, or experience in development, testing""","Quality Engineer","MA",93433,"Year","Large","CA or VT",228635
"20039",20038,2015,"Certified","KYRGYZSTAN",2015,"CALIFORNIA","KELAR CORPORATION",1982,"KYRGYZSTAN","Bachelor's","Bachelor's","Information Technology","Network & Computer Systems Administrator","CALIFORNIA",90501,"Year","Small","CA or VT",202983
"15498",15497,2014,"Certified","INDIA",2015,"CALIFORNIA","""VERIFONE, INC.""",1981,"INDIA","Master's","Bachelor's","""Job offd or rlted software development, sw testing or sw security occptns""","Senior Compliance Engineer","CALIFORNIA",108389,"Year","Large","CA or VT",188407
"24343",24342,2015,"Certified","INDIA",2015,"NEW YORK","MPHASIS CORPORATION",1998,"INDIA","Other","Bachelor's","""Project Lead, Businss Analyst, System Analyst, or related work""","Lead Business Operation Analyst-4","NEW YORK",116820,"Year","Large","Unknown",217604
"18427",18426,2015,"Certified","INDIA",2015,"FLORIDA","FIS MANAGEMENT SERVICES LLC",2004,"INDIA","Master's","Bachelor's","""SYSTEMS ANALYST, PROGRAM DEVELOPER, SOFTWARE DEVELOPER, OR RELATED IT POSITION.""","PROGRAMMER ANALYST SENIOR","WISCONSIN",81000,"Year","Large","CA or VT",197938
"62981",62980,2016,"Certified","NEPAL",2016,"NJ","IT AMERICA INC",2004,"","Master's","Master's","JOB OFFERED OR ANY RELATED JOB","SOFTWARE ENGINEER","NJ",123490,"Year","Large","Unknown",352971
"9617",9616,2014,"Certified-Expired","INDIA",2014,"CALIFORNIA","""CISCO SYSTEMS, INC.""",1984,"INDIA","Bachelor's","Master's","Software Engineer or in a related occupation.","Software Engineer","CALIFORNIA",121186,"Year","Large","Unknown",169590
"50501",50500,2016,"Certified","INDIA",2016,"TN","SAI Technologies",2010,"","Bachelor's","Bachelor's","Computer Software Professional","Programmer Analyst","TN",95326,"Year","Small","CA or VT",310198
"19577",19576,2015,"Withdrawn","INDIA",2015,"TEXAS","AVANT SYSTEMS INC",2009,"INDIA","Master's","Master's","JOB OFFERED OR RELATED JOB","DATABASE ADMINISTRATOR","TEXAS",92664,"Year","Small","CA or VT",201511
"23588",23587,2015,"Certified","INDIA",2015,"MICHIGAN","TECHNOSOFT CORPORATION",1996,"INDIA","Master's","Bachelor's","","Software Application Developer / Analyst","MICHIGAN",76149,"Year","Large","Unknown",215046
"40847",40846,2015,"Certified-Expired","INDIA",2016,"NJ","""TRISYNC TECHNOLOGIES, INC.""",2006,"","Master's","Master's","JOB OFFERED OR ANY RELATED OCCUPATION","SOFTWARE ENGINEER","NJ",108805,"Year","Small","CA or VT",278053
"53939",53938,2016,"Certified","INDIA",2016,"NJ","""RESOURCE LOGISTICS, INC.""",1997,"","Bachelor's","Bachelor's","Any related occupation.","Senior Technical Architect","NJ",123490,"Year","Medium","CA or VT",321560
"63490",63489,2016,"Certified","INDIA",2016,"IL","TRANSUNION",1999,"","Master's","Bachelor's","software development or as a developer or Systems Engineer","Consultant (Applications)","IL",90000,"Year","Large","CA or VT",354724
"35701",35700,2015,"Certified-Expired","INDIA",2016,"CA","""PAYPAL, INC.""",1999,"","Bachelor's","Bachelor's","Field of Software Engineering or Program Analysis","Software Engineer 3","CA",115142,"Year","Large","Unknown",260417
"30281",30280,2013,"Denied","INDIA",2015,"IL","LEAD IT CORPORATION",2009,"","Master's","Bachelor's","","Java Developer","IL",71500,"Year","Medium","CA or VT",240004
"21650",21649,2015,"Certified","CHINA",2015,"NEW YORK","BLOOMBERG L.P.",1981,"CHINA","Master's","Bachelor's","""Software Developer, Senior Software Developer or related""","Senior IT Analyst","NEW YORK",95000,"Year","Large","CA or VT",208138
"36533",36532,2010,"Denied","CHINA",2016,"CA","""ALPHA SENSORS, INC.""",1979,"","Master's","Master's","related occupation","Test Engineer","CA",65853,"Year","Small","CA or VT",263509
"60885",60884,2016,"Certified","INDIA",2016,"VA","""TECHNOLOGY VENTURES, LLC""",1999,"","Bachelor's","Bachelor's","","Database Administrator","VA",91333,"Year","Medium","Unknown",345642
