age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,c_jail_in,c_jail_out,new_in,new_out,LengthOfStay
69,F,Other,Greater than 45,Low,Male,0,-1.0,1,0,2013-08-13 06:03:42,2013-08-14 05:41:20,2013-08-13,2013-08-14,1
31,O,Caucasian,25 - 45,Medium,Male,0,-1.0,5,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
34,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,2013-01-26 03:45:27,2013-02-05 05:36:53,2013-01-26,2013-02-05,10
24,F,African-American,Less than 25,Low,Male,4,-1.0,4,1,2013-04-13 04:58:34,2013-04-14 07:02:04,2013-04-13,2013-04-14,1
23,F,African-American,Less than 25,High,Male,1,-1.0,8,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
43,F,Other,25 - 45,Low,Male,2,-1.0,1,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
44,M,Other,25 - 45,Low,Male,0,0.0,1,0,2013-11-30 04:50:18,2013-12-01 12:28:56,2013-11-30,2013-12-01,1
41,F,Caucasian,25 - 45,Medium,Male,14,-1.0,6,1,2014-02-18 05:08:24,2014-02-24 12:18:30,2014-02-18,2014-02-24,6
43,F,Other,25 - 45,Low,Male,3,-1.0,4,0,2013-08-29 08:55:23,2013-08-30 08:42:13,2013-08-29,2013-08-30,1
39,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,2014-03-15 05:35:34,2014-03-18 04:28:46,2014-03-15,2014-03-18,3
20,F,Caucasian,Less than 25,High,Male,0,-1.0,10,0,2013-12-08 08:17:29,2014-01-10 12:16:01,2013-12-08,2014-01-10,33
26,F,Caucasian,25 - 45,Medium,Female,0,-1.0,5,0,2014-09-04 02:37:17,2014-09-05 08:41:35,2014-09-04,2014-09-05,1
21,F,Caucasian,Less than 25,Low,Male,1,428.0,3,1,2015-01-06 03:55:34,2015-01-07 03:38:44,2015-01-06,2015-01-07,1
27,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,2013-11-25 06:31:06,2013-11-26 08:26:57,2013-11-25,2013-11-26,1
23,M,African-American,Less than 25,Medium,Male,3,0.0,6,1,2013-10-03 04:07:35,2013-10-07 08:17:30,2013-10-03,2013-10-07,4
37,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,2013-01-01 03:28:03,2013-01-02 01:12:19,2013-01-01,2013-01-02,1
22,M,Caucasian,Less than 25,Low,Male,0,0.0,3,0,2014-07-31 02:05:33,2014-07-31 08:33:42,2014-07-31,2014-07-31,0
41,F,African-American,25 - 45,Low,Male,0,-1.0,4,0,2013-10-08 11:53:09,2013-10-09 02:16:51,2013-10-08,2013-10-09,1
47,F,Caucasian,Greater than 45,Low,Female,1,-20.0,1,1,2013-10-10 05:12:58,2013-10-24 11:30:00,2013-10-10,2013-10-24,14
31,F,African-American,25 - 45,Low,Male,7,22.0,3,1,2014-06-25 02:15:57,2014-06-28 05:02:21,2014-06-25,2014-06-28,3
37,M,Hispanic,25 - 45,Low,Male,0,0.0,1,0,2014-03-24 03:20:57,2014-03-24 09:09:10,2014-03-24,2014-03-24,0
25,F,African-American,25 - 45,High,Male,3,-1.0,10,0,2013-12-21 05:42:02,2013-12-22 09:11:18,2013-12-21,2013-12-22,1
31,F,Caucasian,25 - 45,Medium,Male,6,-1.0,5,1,2013-11-16 07:12:12,2013-11-17 08:28:54,2013-11-16,2013-11-17,1
31,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,1,2014-11-14 01:37:05,2014-11-15 04:57:04,2014-11-14,2014-11-15,1
64,F,African-American,Greater than 45,Medium,Male,13,-1.0,6,1,2014-05-01 06:49:08,2014-05-02 09:28:02,2014-05-01,2014-05-02,1
21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,2013-04-17 01:40:58,2013-04-20 04:19:42,2013-04-17,2013-04-20,3
27,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,2014-10-16 05:43:29,2014-10-16 12:40:42,2014-10-16,2014-10-16,0
21,F,Caucasian,Less than 25,Low,Female,0,-2.0,4,0,2013-11-20 04:12:09,2013-11-21 07:53:21,2013-11-20,2013-11-21,1
24,F,African-American,Less than 25,Low,Male,2,0.0,-1,1,2014-10-16 02:13:30,2014-10-17 03:38:48,2014-10-16,2014-10-17,1
24,F,Hispanic,Less than 25,Low,Male,1,0.0,4,1,2013-02-08 04:50:02,2013-02-09 04:43:17,2013-02-08,2013-02-09,1
42,F,Caucasian,25 - 45,Low,Male,1,-132.0,3,0,2014-07-24 12:09:29,2014-11-06 05:57:36,2014-07-24,2014-11-06,105
43,M,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,2013-01-24 03:43:22,2013-01-25 09:12:10,2013-01-24,2013-01-25,1
32,M,Other,25 - 45,Low,Male,0,-1.0,3,0,2013-05-10 08:38:16,2013-05-12 03:33:36,2013-05-10,2013-05-12,2
54,F,African-American,Greater than 45,High,Female,0,-1.0,9,0,2013-05-23 07:25:37,2013-09-11 05:51:06,2013-05-23,2013-09-11,111
44,M,African-American,25 - 45,Medium,Male,8,0.0,6,0,2014-08-21 03:56:39,2014-08-21 08:30:05,2014-08-21,2014-08-21,0
49,O,Caucasian,Greater than 45,Low,Female,0,-1.0,1,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
27,F,African-American,25 - 45,Low,Male,8,-1.0,3,1,2013-05-05 09:07:10,2013-05-22 09:08:22,2013-05-05,2013-05-22,17
36,F,Caucasian,25 - 45,Low,Female,3,53.0,3,0,2013-05-10 11:15:09,2013-05-11 07:01:59,2013-05-10,2013-05-11,1
26,F,African-American,25 - 45,Medium,Male,5,-1.0,7,1,2013-02-19 07:47:55,2013-02-20 06:33:11,2013-02-19,2013-02-20,1
33,F,African-American,25 - 45,High,Male,0,0.0,10,1,2014-10-24 12:50:50,2014-12-01 07:49:53,2014-10-24,2014-12-01,38
30,F,Caucasian,25 - 45,High,Male,9,0.0,9,1,2013-01-28 02:28:42,2013-03-13 07:32:52,2013-01-28,2013-03-13,44
32,F,African-American,25 - 45,High,Male,4,-1.0,8,1,2014-11-14 03:07:02,2014-11-15 04:56:55,2014-11-14,2014-11-15,1
63,M,African-American,Greater than 45,Low,Male,0,-1.0,1,0,2014-12-06 07:42:33,2014-12-08 04:02:00,2014-12-06,2014-12-08,2
27,F,Hispanic,25 - 45,Low,Male,2,0.0,3,0,2014-11-21 01:19:46,2014-11-21 02:08:38,2014-11-21,2014-11-21,0
55,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,2013-12-29 06:37:02,2013-12-31 10:29:24,2013-12-29,2013-12-31,2
29,O,Caucasian,25 - 45,High,Male,0,-1.0,8,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
32,F,African-American,25 - 45,High,Male,15,0.0,10,0,2013-09-16 01:36:50,2013-12-17 06:21:28,2013-09-16,2013-12-17,92
38,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,2014-01-10 10:18:46,2014-06-25 03:27:12,2014-01-10,2014-06-25,166
53,F,Caucasian,Greater than 45,Medium,Male,19,-1.0,5,0,2013-01-19 06:46:23,2013-01-25 03:31:33,2013-01-19,2013-01-25,6
49,F,Other,Greater than 45,Low,Male,7,-1.0,3,1,2013-04-03 04:47:14,2013-04-07 02:54:34,2013-04-03,2013-04-07,4
26,M,Caucasian,25 - 45,High,Male,6,81.0,8,0,2013-06-29 06:05:49,2013-07-11 09:02:10,2013-06-29,2013-07-11,12
33,M,Caucasian,25 - 45,Medium,Female,4,-1.0,5,1,2013-12-02 01:48:34,2013-12-13 05:25:42,2013-12-02,2013-12-13,11
24,M,Caucasian,Less than 25,Low,Male,1,0.0,2,1,2013-09-15 03:47:52,2013-09-16 06:50:10,2013-09-15,2013-09-16,1
34,F,African-American,25 - 45,High,Male,21,0.0,9,1,2013-01-11 02:19:35,2013-02-13 09:33:11,2013-01-11,2013-02-13,33
29,M,Caucasian,25 - 45,Low,Male,0,0.0,2,0,2013-01-16 12:44:00,2013-01-16 06:49:32,2013-01-16,2013-01-16,0
21,F,African-American,Less than 25,High,Female,2,-1.0,8,0,2013-08-23 10:37:03,2013-11-11 04:30:55,2013-08-23,2013-11-11,80
51,M,African-American,Greater than 45,Low,Male,2,-1.0,1,0,2013-02-27 04:44:18,2013-02-28 08:01:39,2013-02-27,2013-02-28,1
36,O,African-American,25 - 45,Low,Male,0,-1.0,1,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
29,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,2014-04-05 08:45:01,2014-04-06 01:46:41,2014-04-05,2014-04-06,1
25,F,African-American,25 - 45,Medium,Male,0,-1.0,6,0,2013-08-22 10:16:10,2014-05-21 02:37:14,2013-08-22,2014-05-21,272
51,F,African-American,Greater than 45,Low,Female,7,-1.0,2,0,2013-02-13 09:29:56,2013-02-15 01:35:37,2013-02-13,2013-02-15,2
